split,image_path,label_path
train,dataset\train\images\1_16-xcx_mp4-1035_jpg.rf.d7917c384362668087c42ca3999a6bff.jpg,dataset\train\labels\1_16-xcx_mp4-1035_jpg.rf.d7917c384362668087c42ca3999a6bff.txt
train,dataset\train\images\1_16-xcx_mp4-1061_jpg.rf.ac2760aeffeade4132a845ef16f5b36a.jpg,dataset\train\labels\1_16-xcx_mp4-1061_jpg.rf.ac2760aeffeade4132a845ef16f5b36a.txt
train,dataset\train\images\1_16-xcx_mp4-1063_jpg.rf.15a1d0bd84af381e4238b739f2e3c3e8.jpg,dataset\train\labels\1_16-xcx_mp4-1063_jpg.rf.15a1d0bd84af381e4238b739f2e3c3e8.txt
train,dataset\train\images\1_16-xcx_mp4-1064_jpg.rf.bf35aa37f9030a0606629b408db332d9.jpg,dataset\train\labels\1_16-xcx_mp4-1064_jpg.rf.bf35aa37f9030a0606629b408db332d9.txt
train,dataset\train\images\1_16-xcx_mp4-1065_jpg.rf.cc05e970a01a533a129cfe9281a9f590.jpg,dataset\train\labels\1_16-xcx_mp4-1065_jpg.rf.cc05e970a01a533a129cfe9281a9f590.txt
train,dataset\train\images\1_16-xcx_mp4-1066_jpg.rf.37479bea7f410cc677290d4b74522d1b.jpg,dataset\train\labels\1_16-xcx_mp4-1066_jpg.rf.37479bea7f410cc677290d4b74522d1b.txt
train,dataset\train\images\1_16-xcx_mp4-1069_jpg.rf.17f7ea2962af881db999110004263484.jpg,dataset\train\labels\1_16-xcx_mp4-1069_jpg.rf.17f7ea2962af881db999110004263484.txt
train,dataset\train\images\1_16-xcx_mp4-1070_jpg.rf.52785816ce402d1814a8ab46c95241d7.jpg,dataset\train\labels\1_16-xcx_mp4-1070_jpg.rf.52785816ce402d1814a8ab46c95241d7.txt
train,dataset\train\images\1_16-xcx_mp4-1071_jpg.rf.09e6186aad4b3f54789dce2aa4349d5c.jpg,dataset\train\labels\1_16-xcx_mp4-1071_jpg.rf.09e6186aad4b3f54789dce2aa4349d5c.txt
train,dataset\train\images\1_16-xcx_mp4-1074_jpg.rf.f3d8a1b16459b31c7a965c220a8d7a8d.jpg,dataset\train\labels\1_16-xcx_mp4-1074_jpg.rf.f3d8a1b16459b31c7a965c220a8d7a8d.txt
train,dataset\train\images\1_16-xcx_mp4-1075_jpg.rf.3fbe5675f530a7d2e1855602df8fb626.jpg,dataset\train\labels\1_16-xcx_mp4-1075_jpg.rf.3fbe5675f530a7d2e1855602df8fb626.txt
train,dataset\train\images\1_16-xcx_mp4-1077_jpg.rf.6cf564497902a568a2c1e72a87d7c4e4.jpg,dataset\train\labels\1_16-xcx_mp4-1077_jpg.rf.6cf564497902a568a2c1e72a87d7c4e4.txt
train,dataset\train\images\1_16-xcx_mp4-1078_jpg.rf.6052a402690a0a4f1fd9136b6c86e92d.jpg,dataset\train\labels\1_16-xcx_mp4-1078_jpg.rf.6052a402690a0a4f1fd9136b6c86e92d.txt
train,dataset\train\images\1_16-xcx_mp4-1079_jpg.rf.5c409ff305d6aa21654c1eb22de8f789.jpg,dataset\train\labels\1_16-xcx_mp4-1079_jpg.rf.5c409ff305d6aa21654c1eb22de8f789.txt
train,dataset\train\images\1_16-xcx_mp4-1080_jpg.rf.e9cc756e25d00e7ed2f0d5c19f4ed775.jpg,dataset\train\labels\1_16-xcx_mp4-1080_jpg.rf.e9cc756e25d00e7ed2f0d5c19f4ed775.txt
train,dataset\train\images\1_16-xcx_mp4-1081_jpg.rf.bb843fa8e8c378cbe03ceda17cdb644f.jpg,dataset\train\labels\1_16-xcx_mp4-1081_jpg.rf.bb843fa8e8c378cbe03ceda17cdb644f.txt
train,dataset\train\images\1_16-xcx_mp4-1082_jpg.rf.2dc5b45ab9ef9faf41e079e08f8507a8.jpg,dataset\train\labels\1_16-xcx_mp4-1082_jpg.rf.2dc5b45ab9ef9faf41e079e08f8507a8.txt
train,dataset\train\images\1_16-xcx_mp4-1083_jpg.rf.4e4b804cbdb18f2303a0fb05d19fed82.jpg,dataset\train\labels\1_16-xcx_mp4-1083_jpg.rf.4e4b804cbdb18f2303a0fb05d19fed82.txt
train,dataset\train\images\1_16-xcx_mp4-1084_jpg.rf.0b7014c3099209ab954e171450cde25e.jpg,dataset\train\labels\1_16-xcx_mp4-1084_jpg.rf.0b7014c3099209ab954e171450cde25e.txt
train,dataset\train\images\1_16-xcx_mp4-1086_jpg.rf.20ee767c5ea28e90c95501a7281ffd63.jpg,dataset\train\labels\1_16-xcx_mp4-1086_jpg.rf.20ee767c5ea28e90c95501a7281ffd63.txt
train,dataset\train\images\1_16-xcx_mp4-1089_jpg.rf.bd9e48633967a150070a26672e660a1d.jpg,dataset\train\labels\1_16-xcx_mp4-1089_jpg.rf.bd9e48633967a150070a26672e660a1d.txt
train,dataset\train\images\1_16-xcx_mp4-1091_jpg.rf.7a30368f0e2e49a820844378ada034a2.jpg,dataset\train\labels\1_16-xcx_mp4-1091_jpg.rf.7a30368f0e2e49a820844378ada034a2.txt
train,dataset\train\images\1_16-xcx_mp4-1092_jpg.rf.0e0d739cf90e91f263812b79600be541.jpg,dataset\train\labels\1_16-xcx_mp4-1092_jpg.rf.0e0d739cf90e91f263812b79600be541.txt
train,dataset\train\images\1_16-xcx_mp4-1095_jpg.rf.b21eccb170ff53bf6ba5e06e6f339fc9.jpg,dataset\train\labels\1_16-xcx_mp4-1095_jpg.rf.b21eccb170ff53bf6ba5e06e6f339fc9.txt
train,dataset\train\images\1_16-xcx_mp4-1096_jpg.rf.fc78895bc23d147a2f78c6c02a9a00a4.jpg,dataset\train\labels\1_16-xcx_mp4-1096_jpg.rf.fc78895bc23d147a2f78c6c02a9a00a4.txt
train,dataset\train\images\1_16-xcx_mp4-1097_jpg.rf.15f0eaf5d8785dea45498d219aa9ac9d.jpg,dataset\train\labels\1_16-xcx_mp4-1097_jpg.rf.15f0eaf5d8785dea45498d219aa9ac9d.txt
train,dataset\train\images\1_16-xcx_mp4-1099_jpg.rf.9125bd85d1f238da34a608471026e7db.jpg,dataset\train\labels\1_16-xcx_mp4-1099_jpg.rf.9125bd85d1f238da34a608471026e7db.txt
train,dataset\train\images\1_16-xcx_mp4-1100_jpg.rf.05547cec1b469005eb72ce25396d5a21.jpg,dataset\train\labels\1_16-xcx_mp4-1100_jpg.rf.05547cec1b469005eb72ce25396d5a21.txt
train,dataset\train\images\1_16-xcx_mp4-1101_jpg.rf.6cc994cc46dac295bf841137bc151165.jpg,dataset\train\labels\1_16-xcx_mp4-1101_jpg.rf.6cc994cc46dac295bf841137bc151165.txt
train,dataset\train\images\1_16-xcx_mp4-1102_jpg.rf.b7bc455238efa0b4aeabcdbfd42cc261.jpg,dataset\train\labels\1_16-xcx_mp4-1102_jpg.rf.b7bc455238efa0b4aeabcdbfd42cc261.txt
train,dataset\train\images\1_16-xcx_mp4-1103_jpg.rf.859b51ef1b1164cfe8a0ad28e0f90737.jpg,dataset\train\labels\1_16-xcx_mp4-1103_jpg.rf.859b51ef1b1164cfe8a0ad28e0f90737.txt
train,dataset\train\images\1_16-xcx_mp4-1105_jpg.rf.572e4d63ce46438ab24b49c3c021b2ea.jpg,dataset\train\labels\1_16-xcx_mp4-1105_jpg.rf.572e4d63ce46438ab24b49c3c021b2ea.txt
train,dataset\train\images\1_16-xcx_mp4-1106_jpg.rf.64b2549c598705011ed28727898b877c.jpg,dataset\train\labels\1_16-xcx_mp4-1106_jpg.rf.64b2549c598705011ed28727898b877c.txt
train,dataset\train\images\1_16-xcx_mp4-1107_jpg.rf.db61af65dd973a8d44b83151ce700c0e.jpg,dataset\train\labels\1_16-xcx_mp4-1107_jpg.rf.db61af65dd973a8d44b83151ce700c0e.txt
train,dataset\train\images\1_16-xcx_mp4-1109_jpg.rf.884e9e3f3dba8fd1b724dc9ab3b1de11.jpg,dataset\train\labels\1_16-xcx_mp4-1109_jpg.rf.884e9e3f3dba8fd1b724dc9ab3b1de11.txt
train,dataset\train\images\1_16-xcx_mp4-1110_jpg.rf.84e5b10008a0ea6920da2e9f2ff21ad5.jpg,dataset\train\labels\1_16-xcx_mp4-1110_jpg.rf.84e5b10008a0ea6920da2e9f2ff21ad5.txt
train,dataset\train\images\1_16-xcx_mp4-1111_jpg.rf.e34e1a7a5359a59bcfb20f8d2877b198.jpg,dataset\train\labels\1_16-xcx_mp4-1111_jpg.rf.e34e1a7a5359a59bcfb20f8d2877b198.txt
train,dataset\train\images\1_16-xcx_mp4-1115_jpg.rf.bea65bfd3c080facebb067a8a8c85e8e.jpg,dataset\train\labels\1_16-xcx_mp4-1115_jpg.rf.bea65bfd3c080facebb067a8a8c85e8e.txt
train,dataset\train\images\1_16-xcx_mp4-1116_jpg.rf.123c8c59a5c2d6fb2661e037fe8732b0.jpg,dataset\train\labels\1_16-xcx_mp4-1116_jpg.rf.123c8c59a5c2d6fb2661e037fe8732b0.txt
train,dataset\train\images\1_16-xcx_mp4-1117_jpg.rf.b0f5e57e782c737a5020252e95e92835.jpg,dataset\train\labels\1_16-xcx_mp4-1117_jpg.rf.b0f5e57e782c737a5020252e95e92835.txt
train,dataset\train\images\1_16-xcx_mp4-1119_jpg.rf.25c12d96adf9e9411134e9e649a7d56d.jpg,dataset\train\labels\1_16-xcx_mp4-1119_jpg.rf.25c12d96adf9e9411134e9e649a7d56d.txt
train,dataset\train\images\1_16-xcx_mp4-1120_jpg.rf.53c00b2aee65d0bf70ac1e35d5e952b0.jpg,dataset\train\labels\1_16-xcx_mp4-1120_jpg.rf.53c00b2aee65d0bf70ac1e35d5e952b0.txt
train,dataset\train\images\1_16-xcx_mp4-1122_jpg.rf.1f7d65f44ad8fc03ab9739e0ce4e2a5e.jpg,dataset\train\labels\1_16-xcx_mp4-1122_jpg.rf.1f7d65f44ad8fc03ab9739e0ce4e2a5e.txt
train,dataset\train\images\1_16-xcx_mp4-1123_jpg.rf.abb98e2759214f45d3533593459bb89d.jpg,dataset\train\labels\1_16-xcx_mp4-1123_jpg.rf.abb98e2759214f45d3533593459bb89d.txt
train,dataset\train\images\1_16-xcx_mp4-1124_jpg.rf.31a8aa8e7079e6ba8dfbae308ead8d4a.jpg,dataset\train\labels\1_16-xcx_mp4-1124_jpg.rf.31a8aa8e7079e6ba8dfbae308ead8d4a.txt
train,dataset\train\images\1_16-xcx_mp4-1126_jpg.rf.bd37cdf56b3bc9fd1bf317d0ce172098.jpg,dataset\train\labels\1_16-xcx_mp4-1126_jpg.rf.bd37cdf56b3bc9fd1bf317d0ce172098.txt
train,dataset\train\images\1_16-xcx_mp4-1128_jpg.rf.ea87e1baccbc0167fc5bfb022cdbc05f.jpg,dataset\train\labels\1_16-xcx_mp4-1128_jpg.rf.ea87e1baccbc0167fc5bfb022cdbc05f.txt
train,dataset\train\images\1_16-xcx_mp4-1129_jpg.rf.309f3f42b601428d30b78de090038ca6.jpg,dataset\train\labels\1_16-xcx_mp4-1129_jpg.rf.309f3f42b601428d30b78de090038ca6.txt
train,dataset\train\images\1_16-xcx_mp4-1131_jpg.rf.e40fadc2cbb53ff22c61f0896c791b9e.jpg,dataset\train\labels\1_16-xcx_mp4-1131_jpg.rf.e40fadc2cbb53ff22c61f0896c791b9e.txt
train,dataset\train\images\1_16-xcx_mp4-1132_jpg.rf.65559232b7e7c6573bd250b6f42e0eb6.jpg,dataset\train\labels\1_16-xcx_mp4-1132_jpg.rf.65559232b7e7c6573bd250b6f42e0eb6.txt
train,dataset\train\images\1_16-xcx_mp4-1133_jpg.rf.fb3327a355c0fb7e16734e7f55b464b5.jpg,dataset\train\labels\1_16-xcx_mp4-1133_jpg.rf.fb3327a355c0fb7e16734e7f55b464b5.txt
train,dataset\train\images\1_16-xcx_mp4-1137_jpg.rf.eac49165d0131456cee3f5a31b7b370e.jpg,dataset\train\labels\1_16-xcx_mp4-1137_jpg.rf.eac49165d0131456cee3f5a31b7b370e.txt
train,dataset\train\images\1_16-xcx_mp4-1139_jpg.rf.1c31fa14087950ded1f466cc248551a0.jpg,dataset\train\labels\1_16-xcx_mp4-1139_jpg.rf.1c31fa14087950ded1f466cc248551a0.txt
train,dataset\train\images\1_16-xcx_mp4-1140_jpg.rf.69500cf5ca62c532b31e99e0489efe6f.jpg,dataset\train\labels\1_16-xcx_mp4-1140_jpg.rf.69500cf5ca62c532b31e99e0489efe6f.txt
train,dataset\train\images\1_16-xcx_mp4-1141_jpg.rf.94a41ecde7245e3952b775c38015496d.jpg,dataset\train\labels\1_16-xcx_mp4-1141_jpg.rf.94a41ecde7245e3952b775c38015496d.txt
train,dataset\train\images\1_16-xcx_mp4-1142_jpg.rf.fe9123bf8bbb88f48eea5d2a4fb17c51.jpg,dataset\train\labels\1_16-xcx_mp4-1142_jpg.rf.fe9123bf8bbb88f48eea5d2a4fb17c51.txt
train,dataset\train\images\1_16-xcx_mp4-1143_jpg.rf.d8f95154f22576c05a21df51e868568e.jpg,dataset\train\labels\1_16-xcx_mp4-1143_jpg.rf.d8f95154f22576c05a21df51e868568e.txt
train,dataset\train\images\1_16-xcx_mp4-1144_jpg.rf.ea48505158f0b70a049deb2b3ca68f1a.jpg,dataset\train\labels\1_16-xcx_mp4-1144_jpg.rf.ea48505158f0b70a049deb2b3ca68f1a.txt
train,dataset\train\images\1_16-xcx_mp4-1145_jpg.rf.21cf157c8dacd6b6a6c68b7a7683ff34.jpg,dataset\train\labels\1_16-xcx_mp4-1145_jpg.rf.21cf157c8dacd6b6a6c68b7a7683ff34.txt
train,dataset\train\images\1_16-xcx_mp4-1146_jpg.rf.1196d3df1f5f481603be8257741cfc08.jpg,dataset\train\labels\1_16-xcx_mp4-1146_jpg.rf.1196d3df1f5f481603be8257741cfc08.txt
train,dataset\train\images\1_16-xcx_mp4-1147_jpg.rf.dbb0e7eb12d139d0edea246145264223.jpg,dataset\train\labels\1_16-xcx_mp4-1147_jpg.rf.dbb0e7eb12d139d0edea246145264223.txt
train,dataset\train\images\1_16-xcx_mp4-1148_jpg.rf.df29e44fe8448160e4460731a78317aa.jpg,dataset\train\labels\1_16-xcx_mp4-1148_jpg.rf.df29e44fe8448160e4460731a78317aa.txt
train,dataset\train\images\1_16-xcx_mp4-1149_jpg.rf.d5c82b41abfa69311459be0cc2e4a7e5.jpg,dataset\train\labels\1_16-xcx_mp4-1149_jpg.rf.d5c82b41abfa69311459be0cc2e4a7e5.txt
train,dataset\train\images\1_16-xcx_mp4-1150_jpg.rf.a05aa3a0e4ad3f57d3f03e5bc0659899.jpg,dataset\train\labels\1_16-xcx_mp4-1150_jpg.rf.a05aa3a0e4ad3f57d3f03e5bc0659899.txt
train,dataset\train\images\1_16-xcx_mp4-1151_jpg.rf.7c4499aef375e130755f571e0f20b750.jpg,dataset\train\labels\1_16-xcx_mp4-1151_jpg.rf.7c4499aef375e130755f571e0f20b750.txt
train,dataset\train\images\1_16-xcx_mp4-1155_jpg.rf.09c175e231c31b69a3d558ff00ef7290.jpg,dataset\train\labels\1_16-xcx_mp4-1155_jpg.rf.09c175e231c31b69a3d558ff00ef7290.txt
train,dataset\train\images\1_16-xcx_mp4-1156_jpg.rf.1acc8ddab006604569d7671473f1c62c.jpg,dataset\train\labels\1_16-xcx_mp4-1156_jpg.rf.1acc8ddab006604569d7671473f1c62c.txt
train,dataset\train\images\1_16-xcx_mp4-1158_jpg.rf.070d8e791ec9a8c48c3f1faaf9e91196.jpg,dataset\train\labels\1_16-xcx_mp4-1158_jpg.rf.070d8e791ec9a8c48c3f1faaf9e91196.txt
train,dataset\train\images\1_16-xcx_mp4-1160_jpg.rf.90e6c995ee597ef9fdfcd9507b4921b7.jpg,dataset\train\labels\1_16-xcx_mp4-1160_jpg.rf.90e6c995ee597ef9fdfcd9507b4921b7.txt
train,dataset\train\images\1_16-xcx_mp4-1161_jpg.rf.8abaf3b7cdc76434affa214b4bca6264.jpg,dataset\train\labels\1_16-xcx_mp4-1161_jpg.rf.8abaf3b7cdc76434affa214b4bca6264.txt
train,dataset\train\images\1_16-xcx_mp4-1162_jpg.rf.a07ec31bcf488d2ee308af6d03762047.jpg,dataset\train\labels\1_16-xcx_mp4-1162_jpg.rf.a07ec31bcf488d2ee308af6d03762047.txt
train,dataset\train\images\1_16-xcx_mp4-1163_jpg.rf.a10cd2105b83cbd8410530b7da28f761.jpg,dataset\train\labels\1_16-xcx_mp4-1163_jpg.rf.a10cd2105b83cbd8410530b7da28f761.txt
train,dataset\train\images\1_16-xcx_mp4-1164_jpg.rf.f18a28121f9e495b141b83b62e1c6ded.jpg,dataset\train\labels\1_16-xcx_mp4-1164_jpg.rf.f18a28121f9e495b141b83b62e1c6ded.txt
train,dataset\train\images\1_16-xcx_mp4-1165_jpg.rf.f25b03a2cfb510bf52cec5715f58eeb7.jpg,dataset\train\labels\1_16-xcx_mp4-1165_jpg.rf.f25b03a2cfb510bf52cec5715f58eeb7.txt
train,dataset\train\images\1_16-xcx_mp4-1166_jpg.rf.2e5bd353214f5a107439f69853faee8d.jpg,dataset\train\labels\1_16-xcx_mp4-1166_jpg.rf.2e5bd353214f5a107439f69853faee8d.txt
train,dataset\train\images\1_16-xcx_mp4-1167_jpg.rf.a03990e4d9a9e311035ca54518033775.jpg,dataset\train\labels\1_16-xcx_mp4-1167_jpg.rf.a03990e4d9a9e311035ca54518033775.txt
train,dataset\train\images\1_16-xcx_mp4-1168_jpg.rf.bcd17ccc7cf9f649da3ec48232211113.jpg,dataset\train\labels\1_16-xcx_mp4-1168_jpg.rf.bcd17ccc7cf9f649da3ec48232211113.txt
train,dataset\train\images\1_16-xcx_mp4-1169_jpg.rf.4afd5cc4c9cdebfeceef3653bd1ef5fc.jpg,dataset\train\labels\1_16-xcx_mp4-1169_jpg.rf.4afd5cc4c9cdebfeceef3653bd1ef5fc.txt
train,dataset\train\images\1_16-xcx_mp4-1170_jpg.rf.e9f64d73cfe752d892d82d8fca1a696b.jpg,dataset\train\labels\1_16-xcx_mp4-1170_jpg.rf.e9f64d73cfe752d892d82d8fca1a696b.txt
train,dataset\train\images\1_16-xcx_mp4-1171_jpg.rf.dd20d0f2b0a2632d407bea7adcad7365.jpg,dataset\train\labels\1_16-xcx_mp4-1171_jpg.rf.dd20d0f2b0a2632d407bea7adcad7365.txt
train,dataset\train\images\1_16-xcx_mp4-1172_jpg.rf.3557ac4f67684976dfe8cf6579ccf1b1.jpg,dataset\train\labels\1_16-xcx_mp4-1172_jpg.rf.3557ac4f67684976dfe8cf6579ccf1b1.txt
train,dataset\train\images\1_16-xcx_mp4-1175_jpg.rf.4d7202578109bd3e332b1ee84d7962e8.jpg,dataset\train\labels\1_16-xcx_mp4-1175_jpg.rf.4d7202578109bd3e332b1ee84d7962e8.txt
train,dataset\train\images\1_16-xcx_mp4-1176_jpg.rf.3671f90819e9a56294e3d869ce95351b.jpg,dataset\train\labels\1_16-xcx_mp4-1176_jpg.rf.3671f90819e9a56294e3d869ce95351b.txt
train,dataset\train\images\1_16-xcx_mp4-1179_jpg.rf.b1d8a4d0bcb339adc95a618089734ad8.jpg,dataset\train\labels\1_16-xcx_mp4-1179_jpg.rf.b1d8a4d0bcb339adc95a618089734ad8.txt
train,dataset\train\images\1_16-xcx_mp4-117_jpg.rf.943e3748a04e9a0e0214daed2c1e5eca.jpg,dataset\train\labels\1_16-xcx_mp4-117_jpg.rf.943e3748a04e9a0e0214daed2c1e5eca.txt
train,dataset\train\images\1_16-xcx_mp4-1181_jpg.rf.c3399ba6c877d8138b4b894afe761b3e.jpg,dataset\train\labels\1_16-xcx_mp4-1181_jpg.rf.c3399ba6c877d8138b4b894afe761b3e.txt
train,dataset\train\images\1_16-xcx_mp4-1182_jpg.rf.6989c4640f7879b6b961f3527ec2a1ce.jpg,dataset\train\labels\1_16-xcx_mp4-1182_jpg.rf.6989c4640f7879b6b961f3527ec2a1ce.txt
train,dataset\train\images\1_16-xcx_mp4-1183_jpg.rf.e5e2e2d478e10b29a5eace806159dd72.jpg,dataset\train\labels\1_16-xcx_mp4-1183_jpg.rf.e5e2e2d478e10b29a5eace806159dd72.txt
train,dataset\train\images\1_16-xcx_mp4-1188_jpg.rf.023d59cb199c045b068f825f58db8ac7.jpg,dataset\train\labels\1_16-xcx_mp4-1188_jpg.rf.023d59cb199c045b068f825f58db8ac7.txt
train,dataset\train\images\1_16-xcx_mp4-1189_jpg.rf.299b2e5f0dd13e22830f432f005e9011.jpg,dataset\train\labels\1_16-xcx_mp4-1189_jpg.rf.299b2e5f0dd13e22830f432f005e9011.txt
train,dataset\train\images\1_16-xcx_mp4-118_jpg.rf.92ea00f855ed5ced27a7405872576338.jpg,dataset\train\labels\1_16-xcx_mp4-118_jpg.rf.92ea00f855ed5ced27a7405872576338.txt
train,dataset\train\images\1_16-xcx_mp4-1194_jpg.rf.9a924746ecc350007de6d3296e5b806c.jpg,dataset\train\labels\1_16-xcx_mp4-1194_jpg.rf.9a924746ecc350007de6d3296e5b806c.txt
train,dataset\train\images\1_16-xcx_mp4-1195_jpg.rf.c3e4570682dde48c756c2aafd6e3cb15.jpg,dataset\train\labels\1_16-xcx_mp4-1195_jpg.rf.c3e4570682dde48c756c2aafd6e3cb15.txt
train,dataset\train\images\1_16-xcx_mp4-1196_jpg.rf.efa415b8e29b338ed1bb9500834e02ef.jpg,dataset\train\labels\1_16-xcx_mp4-1196_jpg.rf.efa415b8e29b338ed1bb9500834e02ef.txt
train,dataset\train\images\1_16-xcx_mp4-1197_jpg.rf.f9e4dc961dcf91f05b2c94349e9d26d9.jpg,dataset\train\labels\1_16-xcx_mp4-1197_jpg.rf.f9e4dc961dcf91f05b2c94349e9d26d9.txt
train,dataset\train\images\1_16-xcx_mp4-1198_jpg.rf.16306a465ce70cd6723ce36182a8ba49.jpg,dataset\train\labels\1_16-xcx_mp4-1198_jpg.rf.16306a465ce70cd6723ce36182a8ba49.txt
train,dataset\train\images\1_16-xcx_mp4-1199_jpg.rf.dc31e3f1052929cf44e8adf32c12215f.jpg,dataset\train\labels\1_16-xcx_mp4-1199_jpg.rf.dc31e3f1052929cf44e8adf32c12215f.txt
train,dataset\train\images\1_16-xcx_mp4-119_jpg.rf.89d997851e2cb371cd644edaa10f905f.jpg,dataset\train\labels\1_16-xcx_mp4-119_jpg.rf.89d997851e2cb371cd644edaa10f905f.txt
train,dataset\train\images\1_16-xcx_mp4-121_jpg.rf.572ef4d2fc36a3d8a97c456bf6c453eb.jpg,dataset\train\labels\1_16-xcx_mp4-121_jpg.rf.572ef4d2fc36a3d8a97c456bf6c453eb.txt
train,dataset\train\images\1_16-xcx_mp4-122_jpg.rf.b25a26e7418c742ffd2f4c6211342d7c.jpg,dataset\train\labels\1_16-xcx_mp4-122_jpg.rf.b25a26e7418c742ffd2f4c6211342d7c.txt
train,dataset\train\images\1_16-xcx_mp4-136_jpg.rf.2b8b9d5a151f02f5a20cb946df9c857a.jpg,dataset\train\labels\1_16-xcx_mp4-136_jpg.rf.2b8b9d5a151f02f5a20cb946df9c857a.txt
train,dataset\train\images\1_16-xcx_mp4-137_jpg.rf.e4e9c8d23b821fb5f55e70bf769b47b0.jpg,dataset\train\labels\1_16-xcx_mp4-137_jpg.rf.e4e9c8d23b821fb5f55e70bf769b47b0.txt
train,dataset\train\images\1_16-xcx_mp4-142_jpg.rf.bec3b8d561e8e0851625b845d1bc4cd1.jpg,dataset\train\labels\1_16-xcx_mp4-142_jpg.rf.bec3b8d561e8e0851625b845d1bc4cd1.txt
train,dataset\train\images\1_16-xcx_mp4-143_jpg.rf.c780ea6d51c3e8ff214e651068b71b9a.jpg,dataset\train\labels\1_16-xcx_mp4-143_jpg.rf.c780ea6d51c3e8ff214e651068b71b9a.txt
train,dataset\train\images\1_16-xcx_mp4-146_jpg.rf.036ff60bf71dd48f724af1a151d41522.jpg,dataset\train\labels\1_16-xcx_mp4-146_jpg.rf.036ff60bf71dd48f724af1a151d41522.txt
train,dataset\train\images\1_16-xcx_mp4-148_jpg.rf.a30108dcbb388de8a5c9be7b5f35db65.jpg,dataset\train\labels\1_16-xcx_mp4-148_jpg.rf.a30108dcbb388de8a5c9be7b5f35db65.txt
train,dataset\train\images\1_16-xcx_mp4-149_jpg.rf.fc58a473460ee8692bdafd8fdba805c5.jpg,dataset\train\labels\1_16-xcx_mp4-149_jpg.rf.fc58a473460ee8692bdafd8fdba805c5.txt
